HomeMicrotypeID,TimePeriodID,PopulationGroupID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
A_1,8,HighIncVeh,leisure,A_1,A_1,0.570137730273267
A_1,21,LowIncVeh,leisure,A_1,A_1,0.479203396023567
A_1,9,LowIncVeh,work,A_1,A_1,0.557783336051102
A_1,13,LowIncVeh,leisure,A_1,A_1,0.574749208083987
A_1,20,HighIncVeh,other,A_3,A_1,0.306460310603492
A_1,19,HighIncVeh,leisure,A_1,A_1,0.416922578428486
A_1,21,HighIncVeh,leisure,A_1,A_1,0.493916374707009
A_1,19,HighIncVeh,other,A_1,A_3,0.125313683595628
A_1,18,LowIncVeh,home,A_1,A_1,0.645710168894086
A_1,13,HighIncVeh,work,A_1,A_2,0.0973387282312117
A_1,13,HighIncVeh,work,A_1,A_1,0.427780217350169
A_1,15,HighIncVeh,home,A_3,A_1,0.256309135942554
A_1,12,HighIncVeh,leisure,A_1,A_3,0.0926511109858861
A_1,12,HighIncVeh,leisure,A_3,A_2,0.034773278934266
A_1,7,HighIncVeh,work,A_1,A_1,0.424004661117435
A_1,14,HighIncVeh,work,A_1,A_1,0.45388482530327
A_1,13,HighIncVeh,leisure,A_1,A_1,0.482701619915527
A_1,13,HighIncVeh,home,A_2,A_1,0.140165016616184
A_1,18,HighIncVeh,other,A_1,A_1,0.430831568327041
A_1,15,HighIncVeh,home,A_1,A_1,0.457986606373969
A_1,20,HighIncVeh,other,A_1,A_1,0.0978974120794887
A_1,15,HighIncVeh,leisure,A_1,A_1,0.368056054951628
A_3,10,LowIncVeh,leisure,A_3,A_3,0.246279343370868
A_3,10,LowIncVeh,home,A_3,A_3,0.59128350900973
A_3,11,LowIncVeh,work,A_3,A_1,0.0916399730738515
A_3,20,LowIncVeh,home,A_1,A_3,0.159619326196672
A_1,11,HighIncVeh,other,A_3,A_3,0.0332374888355464
A_1,14,HighIncVeh,leisure,A_1,A_1,0.467169531420012
A_1,10,HighIncVeh,other,A_1,A_3,0.157850074342603
A_1,11,HighIncNoVehSenior,leisure,A_1,A_1,1
A_1,12,HighIncNoVehSenior,home,A_1,A_1,1
A_1,11,HighIncVeh,leisure,A_1,A_1,0.432156354532299
A_1,19,HighIncVeh,home,A_3,A_1,0.13120268127923
A_1,11,HighIncVeh,work,A_1,A_1,0.488818457122358
A_1,13,HighIncVeh,home,A_1,A_1,0.51004156210048
A_1,8,HighIncVeh,work,A_1,A_2,0.13725198971196
A_1,15,HighIncVeh,leisure,A_1,A_3,0.00931607724511904
A_1,10,HighIncVeh,leisure,A_1,A_1,0.372190073627919
A_1,19,HighIncVeh,home,A_1,A_1,0.592405341299257
A_3,19,HighIncNoVeh,home,A_2,A_3,1
A_3,7,HighIncNoVeh,leisure,A_3,A_3,1
A_3,16,HighIncNoVeh,leisure,A_2,A_1,0.803240191890492
A_3,17,HighIncNoVeh,home,A_1,A_3,1
A_3,12,HighIncVeh,home,A_1,A_1,0.00856807132422973
A_3,18,HighIncNoVeh,home,A_1,A_3,0.184020755813639
A_3,11,HighIncNoVeh,leisure,A_3,A_2,1
A_3,19,HighIncNoVeh,leisure,A_3,A_2,0.0881491278562555
A_3,11,HighIncVeh,home,A_1,A_1,0.00797178997659607
A_3,19,HighIncVeh,work,A_1,A_3,0.353205795087233
A_3,8,HighIncVeh,home,A_3,A_1,0.0139016661929668
A_3,7,HighIncVeh,home,A_3,A_1,0.0360859646379258
A_3,9,HighIncNoVeh,work,A_3,A_1,0.358995481928352
A_3,19,HighIncVeh,home,A_1,A_3,0.17071650754938
A_3,8,HighIncVeh,work,A_3,A_3,0.309314011330642
A_3,7,HighIncVeh,work,A_3,A_1,0.255608895403017
A_1,17,HighIncVeh,leisure,A_3,A_3,0.0236771319570897
A_1,13,HighIncVeh,work,A_3,A_3,0.0624646208037652
A_1,6,HighIncVeh,work,A_3,A_3,0.00734666989224917
A_1,12,HighIncVeh,leisure,A_3,A_3,0.0716914206264049
A_1,15,HighIncVeh,home,A_2,A_1,0.17249096056296
A_1,23,HighIncVeh,home,A_1,A_1,0.483231839373227
A_1,12,LowIncNoVeh,leisure,A_1,A_1,0.858722383639215
A_1,17,LowIncNoVeh,home,A_1,A_1,0.790359895749047
A_1,16,LowIncNoVeh,home,A_1,A_1,0.804643436871022
A_1,17,LowIncNoVeh,leisure,A_1,A_3,0.0931926292957217
A_1,18,LowIncNoVeh,home,A_3,A_1,0.0814090738119061
A_1,8,LowIncNoVeh,school,A_1,A_1,0.749126550315114
A_1,7,LowIncNoVeh,leisure,A_1,A_1,0.987456712618494
A_1,13,LowIncNoVeh,home,A_1,A_1,0.819948236918601
A_1,13,LowIncNoVeh,school,A_1,A_1,0.298859125877536
A_1,7,LowIncNoVeh,home,A_1,A_1,0.962031379905216
A_1,21,HighIncVeh,home,A_3,A_3,0.0355677433588563
A_1,11,HighIncVeh,work,A_1,A_3,0.0670167581501493
A_1,16,HighIncVeh,work,A_3,A_3,0.0921832007454487
