OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,A_2,B_2,C_2,A_3,B_3,C_3,A_4,B_4,C_4,A_5,B_5,C_5,A_6,B_6,C_6
A_1,C_5,xlong,A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101062257654795,0.0407561136919455,0.939031434777096,0.0,0.0,0.0101062257654795,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,B_1,0.0,0.0,0.0,0.0,0.843026792160592,0.0,0.0,0.156973207839408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,B_2,0.0,0.220204785913606,0.0,0.0,0.0,0.0,0.0,0.339385642259183,0.0,0.0,0.0,0.0,0.0,0.440409571827212,0.0,0.0,0.0,0.0
A_1,C_5,xlong,B_3,0.0,0.0690872666835495,0.0,0.0,0.349114176369393,0.0,0.0,0.207261800050649,0.0345436333417748,0.0,0.0,0.0,0.0,0.0945098472105663,0.0,0.0,0.245483276344068,0.0
A_1,C_5,xlong,B_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380806849897115,0.0,0.0,0.0,0.0,0.0,0.0,0.619193150102885,0.0,0.0,0.0
A_1,C_5,xlong,B_6,0.0,0.0,0.0,0.0,0.615004946088052,0.0,0.0,0.384995053911948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,C_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,C_2,0.0,0.0,0.0,0.0,0.0,0.462421446211563,0.0,0.0,0.483163496636636,0.0,0.0,0.0,0.0,0.0,0.0544150571518015,0.0,0.0,0.0
A_1,C_4,xlong,B_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A_1,C_5,xlong,C_3,0.0,0.0,0.0072092853576213,0.0,0.0,0.0867114903479968,0.0,0.0,0.0235738791100063,0.0,0.0,0.0331643012611507,0.0,0.0,0.832541336414459,0.0,0.0,0.0167997075087658
A_1,C_5,xlong,C_5,0.0,0.0,0.0,0.0,0.0,0.0975833340415494,0.0,0.0,0.0975833340415494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524072650343904
A_1,C_5,xlong,C_6,0.0,0.0,0.0,0.0,0.0,0.140405441374051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859594558625949,0.0,0.0,0.0
A_1,C_6,xlong,A_1,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,A_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,A_3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,A_4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,B_1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,B_2,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.0
A_1,C_6,xlong,B_3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
A_1,C_6,xlong,B_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
A_1,C_6,xlong,B_6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_6,xlong,C_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
A_1,C_6,xlong,C_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,C_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_4,xlong,B_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_4,xlong,B_1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_4,xlong,A_5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_1,xlong,C_2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
A_1,C_2,xlong,A_1,0.127374244762649,0.0,0.0,0.0424580815875497,0.0,0.0,0.830167673649801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
