PopulationGroupID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed
HighIncNoVeh,home,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVeh,home,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVehSenior,home,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,home,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,home,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,home,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,home,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,home,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,home,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,home,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,home,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,home,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,home,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,home,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,home,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,home,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,home,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,home,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,home,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVehSenior,home,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVehSenior,home,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVehSenior,home,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVehSenior,home,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVehSenior,home,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVehSenior,home,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVehSenior,home,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVeh,leisure,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,leisure,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,leisure,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,leisure,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,leisure,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,leisure,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,leisure,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,leisure,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,leisure,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,leisure,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,leisure,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,leisure,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,leisure,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,leisure,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,leisure,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,leisure,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,leisure,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVeh,leisure,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVeh,leisure,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVeh,leisure,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVeh,leisure,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVeh,leisure,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVeh,leisure,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVeh,leisure,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVehSenior,leisure,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,leisure,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,leisure,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,leisure,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,leisure,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,leisure,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,leisure,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,leisure,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,leisure,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
